time,temp,humidity,pressure,windSpeed,windGust,windDirection,rainIntensity,rainVolume,wbgt,status
2026-09-13T19:00:00Z,19.8,0.467,,0.567,1.267,180.833,0.0,0.0,,Ok
2026-09-13T20:00:00Z,19.508,0.475,,0.625,1.675,240.708,0.183,1.433,,Ok
2026-09-13T21:00:00Z,19.258,0.417,,0.517,1.442,210.95,0.05,2.383,,Ok
2026-09-13T22:00:00Z,19.125,0.417,,0.558,1.617,219.542,0.0,2.8,,Ok
2026-09-13T23:00:00Z,19.025,0.483,,0.625,1.167,182.008,0.0,2.8,,Ok
2026-09-14T00:00:00Z,18.875,0.433,,0.792,1.65,187.433,0.0,2.8,,Ok
2026-09-14T01:00:00Z,18.833,0.408,,0.617,1.567,191.775,0.0,2.8,,Ok
2026-09-14T02:00:00Z,18.8,0.417,,0.55,1.45,203.042,0.0,2.8,,Ok
2026-09-14T03:00:00Z,18.8,0.467,,0.625,1.4,181.15,0.0,2.8,,Ok
2026-09-14T04:00:00Z,18.7,0.45,,0.8,1.625,176.858,0.0,2.8,,Ok
2026-09-14T05:00:00Z,18.625,0.967,,0.917,1.75,175.692,0.017,2.983,,Ok
2026-09-14T06:00:00Z,18.517,1.1,,0.842,1.942,184.067,0.017,3.15,,Ok
2026-09-14T07:00:00Z,18.658,1.1,,0.825,1.992,186.5,0.0,3.2,,Ok
2026-09-14T08:00:00Z,19.1,1.1,,0.95,2.658,243.392,0.0,3.2,,Ok
2026-09-14T09:00:00Z,19.642,1.05,,0.883,2.575,231.425,0.0,3.2,,Ok
2026-09-14T10:00:00Z,20.333,0.425,,0.975,2.542,195.858,0.0,3.2,,Ok
2026-09-14T11:00:00Z,20.875,0.5,,0.933,2.433,214.25,0.0,3.2,,Ok
2026-09-14T12:00:00Z,21.95,0.5,,0.833,2.217,207.708,0.0,3.2,,Ok
2026-09-14T13:00:00Z,22.5,0.5,,0.858,2.183,181.425,0.0,3.2,,Ok
2026-09-14T14:00:00Z,23.1,0.5,,0.742,2.292,195.542,0.0,3.2,,Ok
2026-09-14T15:00:00Z,23.333,0.5,,0.708,1.892,181.275,0.0,3.2,,Ok
2026-09-14T16:00:00Z,24.008,0.642,,0.7,1.867,177.192,0.0,3.2,,Ok
2026-09-14T17:00:00Z,23.417,0.6,,0.583,1.417,179.25,0.0,3.2,,Ok
2026-09-14T18:00:00Z,22.458,0.6,,0.633,1.242,178.85,0.0,3.2,,Ok
2026-09-14T19:00:00Z,20.733,0.6,,0.408,0.867,126.842,0.0,3.2,,Ok
2026-09-14T20:00:00Z,19.8,0.517,,0.325,0.708,119.558,0.0,3.2,,Ok
2026-09-14T21:00:00Z,18.9,0.5,,0.208,0.433,116.525,0.0,3.2,,Ok
2026-09-14T22:00:00Z,18.533,0.5,,0.225,0.533,165.883,0.0,3.2,,Ok
2026-09-14T23:00:00Z,18.358,0.5,,0.392,0.825,181.592,0.0,3.2,,Ok
2026-09-15T00:00:00Z,18.3,0.5,,0.733,1.217,164.133,0.0,3.2,,Ok
2026-09-15T01:00:00Z,17.483,0.5,,0.3,0.625,136.467,0.0,3.2,,Ok
2026-09-15T02:00:00Z,17.683,0.5,,0.625,1.225,169.333,0.0,3.2,,Ok
2026-09-15T03:00:00Z,17.692,0.5,,0.658,1.475,151.6,0.0,3.2,,Ok
2026-09-15T04:00:00Z,17.6,0.5,,0.65,1.4,146.75,0.0,3.2,,Ok
2026-09-15T05:00:00Z,18.067,0.5,,0.817,1.683,159.275,0.0,3.2,,Ok
2026-09-15T06:00:00Z,18.758,0.5,,0.775,1.483,166.525,0.0,3.2,,Ok
2026-09-15T07:00:00Z,19.925,0.5,,1.033,2.117,170.15,0.0,3.2,,Ok
2026-09-15T08:00:00Z,21.775,0.425,,1.283,3.05,171.292,0.0,3.2,,Ok
2026-09-15T09:00:00Z,24.425,0.483,,1.2,2.958,198.133,0.0,3.2,,Ok
2026-09-15T10:00:00Z,25.833,0.5,,1.55,3.775,257.45,0.0,3.2,,Ok
2026-09-15T11:00:00Z,26.233,0.5,,1.183,2.725,252.083,0.0,3.2,,Ok
2026-09-15T12:00:00Z,26.825,0.5,,1.0,2.775,216.442,0.0,3.2,,Ok
2026-09-15T13:00:00Z,26.758,0.5,,1.117,2.7,207.142,0.0,3.2,,Ok
2026-09-15T14:00:00Z,26.383,0.5,,2.117,4.733,280.592,0.0,3.2,,Ok
2026-09-15T15:00:00Z,23.65,0.5,,2.667,4.825,303.575,0.0,3.2,,Ok
2026-09-15T16:00:00Z,22.292,0.5,,2.758,5.075,305.992,0.0,3.2,,Ok
2026-09-15T17:00:00Z,20.9,0.4,,1.933,3.592,305.283,0.0,3.2,,Ok
2026-09-15T18:00:00Z,20.533,0.4,,1.083,1.883,286.867,0.0,3.2,,Ok
2026-09-15T19:00:00Z,20.222,0.5,,1.4,2.522,293.589,0.0,3.2,,Ok
