time,temp,humidity,pressure,windSpeed,windGust,windDirection,rainIntensity,rainVolume,wbgt,status
2026-09-24T04:55:00+00:00,14.6,64.4,,0.5,1.1,160.7,0.0,0.0,,Ok
2026-09-24T05:00:00+00:00,14.5,64.7,,0.9,1.5,130.9,0.0,0.0,,Ok
2026-09-24T05:05:00+00:00,14.4,65.9,,0.8,1.6,142.1,0.0,0.0,,Ok
2026-09-24T05:10:00+00:00,14.3,66.6,,0.5,0.9,157.1,0.0,0.0,,Ok
2026-09-24T05:15:00+00:00,14.3,67.2,,0.5,1.2,169.5,0.0,0.0,,Ok
2026-09-24T05:20:00+00:00,14.2,67.7,,0.5,1.3,150.7,0.0,0.0,,Ok
2026-09-24T05:25:00+00:00,14.2,68.3,,0.6,1.6,151.9,0.0,0.0,,Ok
2026-09-24T05:30:00+00:00,14.1,68.7,,0.8,1.6,137.7,0.0,0.0,,Ok
2026-09-24T05:35:00+00:00,14.1,68.7,,0.8,1.3,164.1,0.0,0.0,,Ok
2026-09-24T05:40:00+00:00,14.1,68.4,,0.7,1.5,154.6,0.0,0.0,,Ok
2026-09-24T05:45:00+00:00,14.1,68.0,,0.7,1.4,136.8,0.0,0.0,,Ok
2026-09-24T05:50:00+00:00,14.1,67.9,,0.7,1.3,138.1,0.0,0.0,,Ok
2026-09-24T05:55:00+00:00,14.1,67.8,,0.5,1.0,172.9,0.0,0.0,,Ok
2026-09-24T06:00:00+00:00,14.1,68.0,,0.6,1.2,149.4,0.0,0.0,,Ok
2026-09-24T06:05:00+00:00,14.0,68.6,,0.5,1.1,164.3,0.0,0.0,,Ok
2026-09-24T06:10:00+00:00,14.0,68.9,,0.6,1.2,157.2,0.0,0.0,,Ok
2026-09-24T06:15:00+00:00,14.0,68.9,,0.8,1.5,139.2,0.0,0.0,,Ok
2026-09-24T06:20:00+00:00,14.0,69.1,,0.8,1.5,141.2,0.0,0.0,,Ok
2026-09-24T06:25:00+00:00,14.0,68.9,,0.6,1.0,144.0,0.0,0.0,,Ok
2026-09-24T06:30:00+00:00,14.0,68.6,,0.7,1.2,135.7,0.0,0.0,,Ok
2026-09-24T06:35:00+00:00,14.1,68.1,,0.7,1.5,135.0,0.0,0.0,,Ok
2026-09-24T06:40:00+00:00,14.1,68.0,,0.9,1.5,148.0,0.0,0.0,,Ok
2026-09-24T06:45:00+00:00,14.1,67.9,,0.7,1.5,139.7,0.0,0.0,,Ok
2026-09-24T06:50:00+00:00,14.2,68.0,,0.5,1.0,133.8,0.0,0.0,,Ok
2026-09-24T06:55:00+00:00,14.4,67.1,,0.4,0.8,139.1,0.0,0.0,,Ok
2026-09-24T07:00:00+00:00,14.5,66.0,,0.5,0.9,153.7,0.0,0.0,,Ok
2026-09-24T07:05:00+00:00,14.6,65.6,,0.2,0.5,148.3,0.0,0.0,,Ok
2026-09-24T07:10:00+00:00,14.8,64.9,,0.5,1.0,129.3,0.0,0.0,,Ok
2026-09-24T07:15:00+00:00,14.9,63.1,,0.5,0.9,142.5,0.0,0.0,,Ok
2026-09-24T07:20:00+00:00,15.1,62.7,,0.3,0.9,128.9,0.0,0.0,,Ok
2026-09-24T07:25:00+00:00,15.2,62.4,,0.3,0.6,66.8,0.0,0.0,,Ok
2026-09-24T07:30:00+00:00,15.3,61.8,,0.3,0.6,135.4,0.0,0.0,,Ok
2026-09-24T07:35:00+00:00,15.3,61.4,,0.3,0.8,8.4,0.0,0.0,,Ok
2026-09-24T07:40:00+00:00,15.5,60.2,,0.6,1.2,54.9,0.0,0.0,,Ok
2026-09-24T07:45:00+00:00,15.8,59.4,,0.5,1.6,29.4,0.0,0.0,,Ok
2026-09-24T07:50:00+00:00,15.9,57.8,,0.6,1.2,28.9,0.0,0.0,,Ok
