time,temp,humidity,pressure,windSpeed,windGust,windDirection,rainIntensity,rainVolume,wbgt,status
2026-09-24T05:00:00Z,11.667,99.85,,0.183,0.417,195.433,0.0,0.0,,Ok
2026-09-24T06:00:00Z,12.142,100.0,,0.2,0.4,193.808,0.0,0.0,,Ok
2026-09-24T07:00:00Z,14.192,97.425,,0.242,0.55,271.117,0.0,0.0,,Ok
2026-09-24T08:00:00Z,16.142,80.217,,0.333,0.825,223.092,0.0,0.0,,Ok
2026-09-24T09:00:00Z,17.258,70.05,,0.5,1.358,229.042,0.0,0.0,,Ok
2026-09-24T10:00:00Z,18.583,58.167,,0.542,1.267,168.842,0.0,0.0,,Ok
2026-09-24T11:00:00Z,18.825,55.983,,0.667,1.758,228.108,0.0,0.0,,Ok
2026-09-24T12:00:00Z,18.983,52.9,,0.633,1.633,256.75,0.0,0.0,,Ok
2026-09-24T13:00:00Z,19.208,51.8,,0.592,1.767,239.108,0.0,0.0,,Ok
2026-09-24T14:00:00Z,19.767,48.2,,0.767,1.767,248.867,0.0,0.0,,Ok
2026-09-24T15:00:00Z,19.142,50.525,,0.567,1.433,204.692,0.0,0.0,,Ok
2026-09-24T16:00:00Z,18.075,57.883,,0.358,0.9,110.608,0.0,0.0,,Ok
2026-09-24T17:00:00Z,16.825,64.925,,0.267,0.633,151.3,0.0,0.0,,Ok
2026-09-24T18:00:00Z,16.183,65.083,,0.3,0.667,101.233,0.0,0.0,,Ok
2026-09-24T19:00:00Z,15.708,66.575,,0.367,0.933,130.575,0.0,0.0,,Ok
2026-09-24T20:00:00Z,14.875,71.542,,0.333,0.75,117.875,0.0,0.0,,Ok
2026-09-24T21:00:00Z,13.708,78.517,,0.267,0.517,126.658,0.0,0.0,,Ok
2026-09-24T22:00:00Z,12.417,88.975,,0.208,0.367,192.833,0.0,0.0,,Ok
2026-09-24T23:00:00Z,12.467,90.25,,0.4,0.675,112.375,0.0,0.0,,Ok
2026-09-25T00:00:00Z,12.133,90.167,,0.308,0.567,121.642,0.0,0.0,,Ok
2026-09-25T01:00:00Z,11.308,93.242,,0.258,0.442,106.15,0.0,0.0,,Ok
2026-09-25T02:00:00Z,11.075,95.4,,0.267,0.442,96.075,0.0,0.0,,Ok
2026-09-25T03:00:00Z,10.475,96.817,,0.225,0.367,123.767,0.0,0.0,,Ok
2026-09-25T04:00:00Z,10.292,97.867,,0.3,0.533,118.458,0.0,0.0,,Ok
2026-09-25T05:00:00Z,9.875,98.133,,0.3,0.508,105.1,0.0,0.0,,Ok
2026-09-25T06:00:00Z,10.3,98.175,,0.25,0.425,108.408,0.0,0.0,,Ok
2026-09-25T07:00:00Z,12.525,88.092,,0.342,1.017,88.067,0.0,0.0,,Ok
2026-09-25T08:00:00Z,15.633,64.667,,0.433,1.45,100.275,0.0,0.0,,Ok
2026-09-25T09:00:00Z,18.625,54.667,,0.567,1.767,195.275,0.0,0.0,,Ok
2026-09-25T10:00:00Z,21.325,50.325,,0.617,1.908,127.358,0.0,0.0,,Ok
2026-09-25T11:00:00Z,22.767,48.792,,0.683,2.0,112.125,0.0,0.0,,Ok
2026-09-25T12:00:00Z,22.933,48.325,,0.808,2.283,116.167,0.0,0.0,,Ok
2026-09-25T13:00:00Z,23.733,45.217,,0.733,1.925,126.367,0.0,0.0,,Ok
2026-09-25T14:00:00Z,24.658,42.4,,0.683,1.85,121.75,0.0,0.0,,Ok
2026-09-25T15:00:00Z,24.117,41.808,,0.642,1.575,132.808,0.0,0.0,,Ok
2026-09-25T16:00:00Z,23.083,45.208,,0.458,1.258,115.167,0.0,0.0,,Ok
2026-09-25T17:00:00Z,21.192,52.508,,0.25,0.583,99.175,0.0,0.0,,Ok
2026-09-25T18:00:00Z,18.958,63.358,,0.158,0.333,66.475,0.0,0.0,,Ok
2026-09-25T19:00:00Z,17.9,68.45,,0.233,0.45,105.408,0.0,0.0,,Ok
2026-09-25T20:00:00Z,17.458,67.558,,0.3,0.533,107.967,0.0,0.0,,Ok
2026-09-25T21:00:00Z,17.1,64.792,,0.275,0.575,84.192,0.0,0.0,,Ok
2026-09-25T22:00:00Z,16.875,61.258,,0.225,0.475,100.067,0.0,0.0,,Ok
2026-09-25T23:00:00Z,16.4,62.817,,0.25,0.575,185.3,0.0,0.0,,Ok
2026-09-26T00:00:00Z,15.35,66.9,,0.25,0.583,216.233,0.0,0.0,,Ok
2026-09-26T01:00:00Z,14.142,75.183,,0.217,0.567,202.808,0.0,0.0,,Ok
2026-09-26T02:00:00Z,14.317,82.1,,0.342,0.642,269.975,0.0,0.0,,Ok
2026-09-26T03:00:00Z,14.95,95.358,,0.425,0.875,308.867,0.0,0.0,,Ok
2026-09-26T04:00:00Z,15.55,100.0,,0.592,1.192,302.717,0.0,0.0,,Ok
2026-09-26T05:00:00Z,16.28,100.0,,0.76,1.88,300.74,0.0,0.0,,Ok
